epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0546,2.9542,17.5647,4.30379,4.37668,0.00063,0.1358,0.00044,6e-05,0,0,0,0,2.07309,5.16066,4.12852,4.15201,0.00038,0.00038,0.00038
2,21.4417,2.78925,4.89761,3.71514,4.02039,0.00068,0.14815,0.00041,6e-05,0,0,0,0,2.08708,5.15403,4.04645,4.12482,0.000772278,0.000772278,0.000772278
3,29.4317,2.58652,1.96332,2.81848,3.3978,0.00081,0.17284,0.00059,8e-05,0,0,0,0,1.88614,5.13076,3.93157,4.00759,0.00115664,0.00115664,0.00115664
4,36.4921,2.33251,1.25327,2.57038,3.04254,0.00408,0.96296,0.00595,0.00163,0.00209,0.49383,0.00367,0.00082,2.59807,4.66522,3.60181,3.80937,0.00153307,0.00153307,0.00153307
5,41.5708,2.19577,0.89917,2.24446,2.78592,0.90026,0.77778,0.93524,0.412,0.90026,0.77778,0.93524,0.62592,2.21939,1.79769,1.55049,2.36912,0.00190159,0.00190159,0.00190159
6,48.6763,2.20984,0.68659,1.94807,2.74253,0.98999,1,0.995,0.48252,0.98999,1,0.995,0.59386,1.89821,1.90961,1.95707,2.13828,0.001901,0.001901,0.001901
7,55.5875,2.14708,0.68567,1.80968,2.67267,0.00479,1,0.26912,0.06811,0.00479,1,0.26912,0.14369,2.56874,2.55024,3.19597,2.65124,0.0018812,0.0018812,0.0018812
8,62.7875,2.03177,0.65278,1.72007,2.58413,0.00601,1,0.00721,0.00369,0.00601,1,0.00822,0.00726,2.14872,0.4415,3.60941,2.40871,0.0018614,0.0018614,0.0018614
9,70.1298,1.9643,0.52732,1.59942,2.4734,0.99604,1,0.995,0.44307,0.99604,1,0.995,0.96349,2.08136,0.42162,1.25789,2.10953,0.0018416,0.0018416,0.0018416
10,75.3831,1.73315,0.48559,1.39333,2.29397,0.999,1,0.995,0.58908,0.999,1,0.995,0.94972,1.66199,0.35935,0.95227,1.887,0.0018218,0.0018218,0.0018218
11,82.6841,1.66679,0.40474,1.28264,2.20219,0.9961,1,0.995,0.51862,0.9961,1,0.995,0.87888,1.70242,0.3461,1.22589,2.02675,0.001802,0.001802,0.001802
12,89.7514,1.56199,0.46318,1.15843,2.09326,0.99834,1,0.995,0.58463,0.99834,1,0.995,0.79791,1.51924,0.87846,0.89266,1.85016,0.0017822,0.0017822,0.0017822
13,96.9072,1.52991,0.43521,1.13742,2.02026,1,0.92876,0.995,0.52201,1,0.92876,0.995,0.82069,1.6609,0.27851,1.65079,1.92892,0.0017624,0.0017624,0.0017624
14,101.834,1.32734,0.39948,1.05397,1.85797,0.99899,1,0.995,0.52661,0.99899,1,0.995,0.86632,1.60378,0.32088,1.20527,1.93281,0.0017426,0.0017426,0.0017426
15,108.629,1.27989,0.39855,0.98024,1.79592,0.9991,1,0.995,0.7335,0.9991,1,0.995,0.94185,1.10827,0.31474,0.66383,1.49294,0.0017228,0.0017228,0.0017228
16,115.831,1.1598,0.37376,0.90554,1.66162,0.99878,1,0.995,0.72175,0.99878,1,0.995,0.90637,1.06014,0.47513,0.72979,1.43596,0.001703,0.001703,0.001703
17,122.643,1.18192,0.34152,0.91396,1.67355,0.99912,1,0.995,0.65767,0.99912,1,0.995,0.90612,1.31066,0.24087,0.67921,1.6779,0.0016832,0.0016832,0.0016832
18,129.729,1.08032,0.35386,0.8466,1.57297,0.99872,1,0.995,0.75463,0.99872,1,0.995,0.93477,0.92454,0.29775,0.79063,1.32677,0.0016634,0.0016634,0.0016634
19,134.817,0.98389,0.33254,0.76869,1.48616,0.99578,1,0.995,0.81148,0.99578,1,0.995,0.81556,0.78256,1.44678,0.82384,1.29243,0.0016436,0.0016436,0.0016436
20,141.773,0.9007,0.32171,0.78148,1.41798,0.99724,1,0.995,0.59358,0.99724,1,0.995,0.72258,1.50786,1.13901,1.02772,1.58023,0.0016238,0.0016238,0.0016238
21,148.633,0.82724,0.32169,0.72642,1.36953,0.99891,1,0.995,0.82714,0.99891,1,0.995,0.98909,0.75455,0.21746,0.60713,1.17082,0.001604,0.001604,0.001604
22,155.485,0.80712,0.34064,0.69101,1.30783,0.99867,1,0.995,0.83195,0.99867,1,0.995,0.85864,0.7096,0.8848,0.6224,1.1455,0.0015842,0.0015842,0.0015842
23,162.283,0.89197,0.32813,0.7249,1.38026,0.18483,0.48146,0.22333,0.03942,0.14212,0.34568,0.13807,0.02306,2.69366,4.7493,3.16177,3.18975,0.0015644,0.0015644,0.0015644
24,166.836,0.85385,0.30432,0.69151,1.35532,0.99738,1,0.995,0.80995,0.99738,1,0.995,0.95742,0.78495,0.24298,0.53765,1.2097,0.0015446,0.0015446,0.0015446
25,173.673,0.79894,0.30519,0.65849,1.3061,0.99745,1,0.995,0.59186,0.99745,1,0.995,0.73189,1.25285,0.96318,0.9987,1.45629,0.0015248,0.0015248,0.0015248
26,180.511,0.78292,0.30116,0.6192,1.27644,0.99925,1,0.995,0.8657,0.99925,1,0.995,0.995,0.54239,0.19909,0.43991,1.00196,0.001505,0.001505,0.001505
27,187.211,0.78458,0.28602,0.63933,1.25782,0.99899,1,0.995,0.83284,0.99899,1,0.995,0.9849,0.67142,0.18649,0.53923,1.10543,0.0014852,0.0014852,0.0014852
28,191.953,0.79017,0.313,0.67102,1.26113,0.99911,1,0.995,0.82948,0.99911,1,0.995,0.995,0.69943,0.21888,0.44934,1.09831,0.0014654,0.0014654,0.0014654
